Company_name,Website,Sector,Country,Source,Active,No_of_employees
Memorial Sloan Kettering Cancer Center,https://mskcc.org,Hospitals And Health Care,,CompaniesAPI,True,
Erste Group,https://erstegroup.com,Banking,,CompaniesAPI,True,
baptist health south florida,https://baptisthealth.net,Hospitals And Health Care,,CompaniesAPI,True,
Santander,https://santander.com,Banking,,CompaniesAPI,True,
BNP Paribas,https://bnpparibas.ch,Banking,,CompaniesAPI,True,
Alrajhibank,https://alrajhibank.com.sa,Banking,,CompaniesAPI,True,
Concentrix,https://concentrix.com,It Services And It Consulting,,CompaniesAPI,True,
Visionet,https://visionet.com,Information Technology And Services,,CompaniesAPI,True,
PROS,https://pros.com,Technology Information And Internet,,CompaniesAPI,True,
Care.com,https://care.com,Internet,,CompaniesAPI,True,
Blackbaud,https://blackbaud.com,Computer Software,,CompaniesAPI,True,
Johnson & Johnson,https://jnj.com,Pharmaceutical Manufacturing,,CompaniesAPI,True,
WEX,https://wexinc.com,Financial Services,,CompaniesAPI,True,
Netenrich,https://netenrich.com,It Services And It Consulting,,CompaniesAPI,True,
Zillow,https://zillow.com,Home Health Care Services,,CompaniesAPI,True,
evernote corporation,https://evernote.com,Computer Software,,CompaniesAPI,True,
Box,https://box.com,Internet,,CompaniesAPI,True,
Logitech,https://logitech.com,Computer And Network Security,,CompaniesAPI,True,
Worldpay,https://worldpay.com,Financial Services,,CompaniesAPI,True,
NetApp,https://netapp.com,Information Technology And Services,,CompaniesAPI,True,
Google,https://goo.gle,Technology Information And Internet,,CompaniesAPI,True,
Everi,https://everi.com,Computer Games,,CompaniesAPI,True,
LHC Group,https://lhcgroup.com,Hospital And Health Care,,CompaniesAPI,True,
Persistent Systems,https://persistent.com,It Services And It Consulting,,CompaniesAPI,True,
Exclaimer,https://exclaimer.com,Software Development,,CompaniesAPI,True,
Pega,https://pega.com,Computer And Network Security,,CompaniesAPI,True,
OCBC,https://ocbc.com,Banking,,CompaniesAPI,True,
3ds,https://3ds.com,It Services And It Consulting,,CompaniesAPI,True,
Computacenter,https://computacenter.com,Technology Information And Internet,,CompaniesAPI,True,
Westpac,https://westpac.com.au,Financial Services,,CompaniesAPI,True,
Tata Capital,https://tatacapital.com,Banking,,CompaniesAPI,True,
Millicom,https://millicom.com,Telecommunications,,CompaniesAPI,True,
Teradyne,https://teradyne.com,Semiconductors,,CompaniesAPI,True,
UMB,https://umb.com,Banking,,CompaniesAPI,True,
Sprout Social,https://sproutsocial.com,Software Development,,CompaniesAPI,True,
Nielsen,https://nielsen.com,Media And Telecommunications,,CompaniesAPI,True,
Semtech Corporation,https://semtech.com,Semiconductors,,CompaniesAPI,True,
UCSF,https://ucsf.edu,Health And Human Services,,CompaniesAPI,True,
Banner Health,https://bannerhealth.com,Hospital And Health Care,,CompaniesAPI,True,
Bausch Health,https://bauschhealth.com,Pharmaceutical Manufacturing,,CompaniesAPI,True,
Mayo Clinic,https://mayoclinic.org,Hospitals And Health Care,,CompaniesAPI,True,
telkom,https://telkom.co.za,Telecommunications,,CompaniesAPI,True,
Raiffeisen Schweiz,https://raiffeisen.ch,Banking,,CompaniesAPI,True,
H&R Block,https://hrblock.com,Financial Services,,CompaniesAPI,True,
Freelancer,https://freelancer.com,It Services And It Consulting,,CompaniesAPI,True,
Vivendi,https://vivendi.com,Media And Telecommunications,,CompaniesAPI,True,
TELUS,https://telus.com,Telecommunications,,CompaniesAPI,True,
Sial,https://sigmaaldrich.com,Biotechnology Research,,CompaniesAPI,True,
Booz Allen Hamilton,https://boozallen.com,It Services And It Consulting,,CompaniesAPI,True,
Wind River,https://windriver.com,Technology Information And Internet,,CompaniesAPI,True,
Diebold Nixdorf,https://dieboldnixdorf.com,Banking,,CompaniesAPI,True,
Mediaocean,https://mediaocean.com,Software Development,,CompaniesAPI,True,
