S_No,Company_name,Website,Sector,Country,Source,Updated_at,Active,No_of_employees
82,"Apothecary, Inc.",https://www.getcakeshop.co,"AdTech, Beauty, Commerce",Singapore,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
83,APPARTA LLC,https://www.apparta.co,Food,Colombia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
84,Appboxo Pte. Ltd.,https://appboxo.com,Developer Tools,Singapore,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
85,"App-CM, Inc.",https://www.app-cm.co.jp,"Content, Data & Analytics",Singapore,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
86,Beengo .ME LTD,https://www.appfront.ai,"Content, Data & Analytics",Israel,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
87,"Appgain, Inc.",https://appgain.io,AI/Machine Learning,Egypt,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
88,Apphive Inc.,https://apphive.io,Developer Tools,Mexico,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
89,Duchess Mercantiles Sdn Bhd,https://www.applecrumbyandfish.com,"Ecommerce, Healthcare, Consumer",Malaysia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
90,Applyboard Inc.,https://www.applyboard.com,Education,Canada,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
91,"APP ONBOARD, INC.",https://www.apponboard.com,Developer Tools,Vietnam,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
92,App Samurai Inc.,https://appsamurai.com,"Content, Data & Analytics",United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
93,"Apptopia, Inc.",https://apptopia.com,"Data & Analytics, Developer Tools",United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
94,"AppZen, Inc.",https://www.appzen.com,FinTech,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
95,Aprende Inc.,https://aprende.com,Education,Mexico,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
96,Tazel Limited,https://apurata.com,FinTech,Peru,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
97,APX Solutions Pte. Ltd.,https://apx.group,"Logistics, Mobility, B2B Marketplaces",Thailand,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
98,"Arbi, Inc.",https://www.arbilex.co,"Credit & Lending, FinTech, Marketplace",United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
